Case Number,Title,Settlement Amount,Date,Link
Case No. 3:18-cv-02641,"Kaydon Corporation to Pay $38,000 to Settle EEOC Disability Lawsuit","$38,000",05-22-2019,https://www.eeoc.gov/newsroom/kaydon-corporation-pay-38000-settle-eeoc-disability-lawsuit
Case No. 4:19-cv-00263,"Arizona Health Companies to Pay $545,000 to Settle EEOC Disability and Pregnancy Discrimination Suit","$545,000",05-17-2019,https://www.eeoc.gov/newsroom/arizona-health-companies-pay-545000-settle-eeoc-disability-and-pregnancy-discrimination
Case No. 2:18-cv-2398,"Kansas School District to Pay $11,250 to Settle Equal Pay Act Lawsuit","$11,250",05-16-2019,https://www.eeoc.gov/newsroom/kansas-school-district-pay-11250-settle-equal-pay-act-lawsuit
Case No. 4:18-cv-01570,"Pilgrim's Pride to Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000",05-16-2019,https://www.eeoc.gov/newsroom/pilgrims-pride-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:18-cv-02942,"Corizon Health / Corizon LLC to Pay $950,000 to Settle Nationwide EEOC Disability Discrimination Lawsuit","$950,000",05-16-2019,https://www.eeoc.gov/newsroom/corizon-health-corizon-llc-pay-950000-settle-nationwide-eeoc-disability-discrimination
Case No. 1:18-cv-00371,"Master Marine to Pay $30,000 to Settle EEOC Retaliation Lawsuit","$30,000",05-16-2019,https://www.eeoc.gov/newsroom/master-marine-pay-30000-settle-eeoc-retaliation-lawsuit
Case No. 1:17-cv-01291,"Pape Material Handling to Pay $650,000 to Settle EEOC National Origin Harassment Lawsuit","$650,000",05-14-2019,https://www.eeoc.gov/newsroom/pape-material-handling-pay-650000-settle-eeoc-national-origin-harassment-lawsuit
Case No. 1:18-cv-00338,"Ashley Distribution Services to Pay $75,000 to Settle EEOC Disability Discrimination Suit","$75,000",05-09-2019,https://www.eeoc.gov/newsroom/ashley-distribution-services-pay-75000-settle-eeoc-disability-discrimination-suit
Case No. 4:17-cv-627,"Crain Automotive Holdings to Pay $27,100 to Settle EEOC Disability Discrimination Lawsuit","$27,100",04-30-2019,https://www.eeoc.gov/newsroom/crain-automotive-holdings-pay-27100-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:18-cv-00085,"Cooper Machine Company to Pay $20,000 to Settle Disability Discrimination Lawsuit","$20,000",04-25-2019,https://www.eeoc.gov/newsroom/cooper-machine-company-pay-20000-settle-disability-discrimination-lawsuit
Case No. 1:18-cv-00145,"Golden Corral to Pay $31,000 to Settle EEOC Disability Discrimination Suit","$31,000",04-23-2019,https://www.eeoc.gov/newsroom/golden-corral-pay-31000-settle-eeoc-disability-discrimination-suit
Case No. 3:17-cv-01582,"Atlas Energy Group to Pay $85,000 to Settle EEOC Age Discrimination Suit","$85,000",04-22-2019,https://www.eeoc.gov/newsroom/atlas-energy-group-pay-85000-settle-eeoc-age-discrimination-suit
Case No. 1:18-cv-00838,"Party City to Pay $155,000 to Settle EEOC Disability Discrimination Lawsuit","$155,000",04-22-2019,https://www.eeoc.gov/newsroom/party-city-pay-155000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:18-cv-01352,"Safeway to Pay $75,000 to Settle EEOC Disability Discrimination Lawsuit","$75,000",04-19-2019,https://www.eeoc.gov/newsroom/safeway-pay-75000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:18-cv-00978,"Saint Thomas Health to Pay $75,000 to Settle EEOC Religious Discrimination Suit","$75,000",04-18-2019,https://www.eeoc.gov/newsroom/saint-thomas-health-pay-75000-settle-eeoc-religious-discrimination-suit
Case No. 3:18-cv-900,"Fanatics Retail Group Fulfillment to Pay $322,050 to Settle EEOC Race Discrimination, Harassment and Retaliation Lawsuit","$322,050",04-17-2019,https://www.eeoc.gov/newsroom/fanatics-retail-group-fulfillment-pay-322050-settle-eeoc-race-discrimination-harassment
Case No. 6:18-cv-00338,"Pulmonary Specialists of Tyler and Sleep Health to Pay $30,000 to Settle EEOC Disability Discrimination Lawsuit","$30,000",04-16-2019,https://www.eeoc.gov/newsroom/pulmonary-specialists-tyler-and-sleep-health-pay-30000-settle-eeoc-disability
Case No. 1:18-cv-01753,"Fastenal Company to Pay $50,000 to Settle EEOC Pay Discrimination Lawsuit","$50,000",04-15-2019,https://www.eeoc.gov/newsroom/fastenal-company-pay-50000-settle-eeoc-pay-discrimination-lawsuit
Case No. 5:18-cv-00165,"PruittHealth-Raleigh to Pay $25,000 to Settle EEOC Pregnancy Discrimination Suit","$25,000",04-11-2019,https://www.eeoc.gov/newsroom/pruitthealth-raleigh-pay-25000-settle-eeoc-pregnancy-discrimination-suit
Case No. 1:18-cv-00150,"Arby's Franchisee, Beavers, to Pay $84,000 to Settle EEOC Suit for Sexual Harassment of Teen Workers","$84,000",04-10-2019,https://www.eeoc.gov/newsroom/arbys-franchisee-beavers-pay-84000-settle-eeoc-suit-sexual-harassment-teen-workers
Case No. 1:18-cv-02498,"JBS Carriers to Pay $250,000 and not Resume ErgoMed Screening to Settle EEOC Discrimination Suit","$250,000",04-04-2019,https://www.eeoc.gov/newsroom/jbs-carriers-pay-250000-and-not-resume-ergomed-screening-settle-eeoc-discrimination-suit
Case No. 9:18-cv-00912,"South Carolina Waste Company to Pay $32,500 to Settle EEOC Sex Discrimination Suit","$32,500",04-02-2019,https://www.eeoc.gov/newsroom/south-carolina-waste-company-pay-32500-settle-eeoc-sex-discrimination-suit
Case No. 4:19-cv-00052,"Masterbuilt to Pay $60,000 to Settle EEOC Disability Discrimination Suit","$60,000",04-02-2019,https://www.eeoc.gov/newsroom/masterbuilt-pay-60000-settle-eeoc-disability-discrimination-suit
Case No. 3:17-cv-01306,"Cummins, Inc. to Pay $77,500 to Settle EEOC Pay Discrimination Lawsuit","$77,500",04-01-2019,https://www.eeoc.gov/newsroom/cummins-inc-pay-77500-settle-eeoc-pay-discrimination-lawsuit
Case No. 1:18-cv-07598,"HELP USA to Pay $150,000 to Settle EEOC Sex Harassment Suit","$150,000",03-28-2019,https://www.eeoc.gov/newsroom/help-usa-pay-150000-settle-eeoc-sex-harassment-suit
Case No. 8:18-cv-02535,"Protocall Communications, Inc. to Pay $31,000 to Settle EEOC Disability Discrimination Lawsuit","$31,000",03-26-2019,https://www.eeoc.gov/newsroom/protocall-communications-inc-pay-31000-settle-eeoc-disability-discrimination-lawsuit
Case No. 3:17-cv-01229,"Mid South Extrusion to Pay $70,000 to Settle EEOC Disability Discrimination Lawsuit","$70,000",03-26-2019,https://www.eeoc.gov/newsroom/mid-south-extrusion-pay-70000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:18-cv-00823,"Premier Employee Solutions to Pay $34,000 to Settle EEOC Sexual Harassment Lawsuit","$34,000",03-26-2019,https://www.eeoc.gov/newsroom/premier-employee-solutions-pay-34000-settle-eeoc-sexual-harassment-lawsuit
Case No. 1:17-cv-07659,"Friedman Realty Group to Pay $60,000 to Settle EEOC Pregnancy Discrimination Suit","$60,000",03-15-2019,https://www.eeoc.gov/newsroom/friedman-realty-group-pay-60000-settle-eeoc-pregnancy-discrimination-suit
Case No. 2:18-cv-00837,"Sys-con, LLC to Pay $70,000 to Settle Sexual Harassment Lawsuit","$70,000",03-11-2019,https://www.eeoc.gov/newsroom/sys-con-llc-pay-70000-settle-sexual-harassment-lawsuit
Case No. 3:17-cv-336,"Asurion to Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000",03-11-2019,https://www.eeoc.gov/newsroom/asurion-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:17-cv-00129,"CRST to Pay $47,500 to Settle EEOC Disability Discrimination and Retaliation Lawsuit","$47,500",03-06-2019,https://www.eeoc.gov/newsroom/crst-pay-47500-settle-eeoc-disability-discrimination-and-retaliation-lawsuit
Case No. 1:18-cv-02525,"Stanley Black & Decker Will Pay $140,000 to Settle EEOC Disability Discrimination Suit","$140,000",03-05-2019,https://www.eeoc.gov/newsroom/stanley-black-decker-will-pay-140000-settle-eeoc-disability-discrimination-suit
Case No. 2:17-cv-02458,"Pancake Chain IHOP to Pay $700,000 to Settle Sexual Harassment and Retaliation Lawsuit","$700,000",02-20-2019,https://www.eeoc.gov/newsroom/pancake-chain-ihop-pay-700000-settle-sexual-harassment-and-retaliation-lawsuit
Case No. 3:12-cv-491,City of Jacksonville Agrees to Pay $4.9 Million to Settle Class Race Discrimination Lawsuit,$4.9,02-14-2019,https://www.eeoc.gov/newsroom/city-jacksonville-agrees-pay-49-million-settle-class-race-discrimination-lawsuit
Case No. 1:18-cv-02319,"Park School of Baltimore Will Pay $41,000 to Settle EEOC Sex Discrimination Suit","$41,000",02-12-2019,https://www.eeoc.gov/newsroom/park-school-baltimore-will-pay-41000-settle-eeoc-sex-discrimination-suit
Case No. 2:18-cv-04167,"Llanerch Country Club to Pay $30,000 to Settle EEOC Age Discrimination Lawsuit","$30,000",02-12-2019,https://www.eeoc.gov/newsroom/llanerch-country-club-pay-30000-settle-eeoc-age-discrimination-lawsuit
Case No. 1:17-cv-11860,"Atlantic Capes Fisheries & BJ's Service Co. to Pay $675,000 to Settle EEOC Sex Harassment and Retaliation Lawsuit","$675,000",01-30-2019,https://www.eeoc.gov/newsroom/atlantic-capes-fisheries-bjs-service-co-pay-675000-settle-eeoc-sex-harassment-and
Case No. 2:17-cv-02717,"Flash Market to Pay $100,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$100,000",01-29-2019,https://www.eeoc.gov/newsroom/flash-market-pay-100000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:15-cv-01091,"Maryland Insurance Administration to Pay $36,802 to Settle EEOC Equal Pay Act Suit","$36,802",01-28-2019,https://www.eeoc.gov/newsroom/maryland-insurance-administration-pay-36802-settle-eeoc-equal-pay-act-suit
Case No. 1:15-cv-04141,UPS to Pay $4.9 Million to Settle EEOC Religious Discrimination Suit,$4.9,12-21-2018,https://www.eeoc.gov/newsroom/ups-pay-49-million-settle-eeoc-religious-discrimination-suit
Case No. 2:18-cv-00133,"Rocco's Pub to Pay $15,500 to Settle EEOC Pregnancy Discrimination Suit","$15,500",12-18-2018,https://www.eeoc.gov/newsroom/roccos-pub-pay-15500-settle-eeoc-pregnancy-discrimination-suit
Case No. 4:17-cv-00136,"Harborview Senior Care Properties to Pay $21,000 to Settle EEOC Disability Suit","$21,000",12-17-2018,https://www.eeoc.gov/newsroom/harborview-senior-care-properties-pay-21000-settle-eeoc-disability-suit
Case No. 1:15-cv-877,"Draper Development LLC to Pay $80,000 to Settle EEOC Sexual Harassment Suit","$80,000",12-11-2018,https://www.eeoc.gov/newsroom/draper-development-llc-pay-80000-settle-eeoc-sexual-harassment-suit
Case No. 1:18-cv-00269,"Master Marine to Pay $102,000 to Settle EEOC Same-Sex Harassment & Race Discrimination Lawsuit","$102,000",11-30-2018,https://www.eeoc.gov/newsroom/master-marine-pay-102000-settle-eeoc-same-sex-harassment-race-discrimination-lawsuit
Case No. 3:18-cv-0654,"Merritt Hospitality to Pay $125,000 to Settle EEOC Lawsuit","$125,000",11-29-2018,https://www.eeoc.gov/newsroom/merritt-hospitality-pay-125000-settle-eeoc-lawsuit
Case No. 1:18-cv-00169,"Murex Petroleum Corp. to Pay $50,000 to Settle EEOC Racial Harassment Lawsuit","$50,000",11-21-2018,https://www.eeoc.gov/newsroom/murex-petroleum-corp-pay-50000-settle-eeoc-racial-harassment-lawsuit
Case No. 3:17-cv-00777,"GB Flowood Operations to Pay $25,000 To Settle EEOC Religious Discrimination Lawsuit","$25,000",11-07-2018,https://www.eeoc.gov/newsroom/gb-flowood-operations-pay-25000-settle-eeoc-religious-discrimination-lawsuit
Case No. 5:17-cv-00494,"Whole Foods Market to Pay $65,000 To Settle EEOC Disability Suit","$65,000",11-05-2018,https://www.eeoc.gov/newsroom/whole-foods-market-pay-65000-settle-eeoc-disability-suit
Case No. 1:18-cv-00063,"MPW Industrial Services to Pay $170,000 To Settle EEOC Race Discrimination Lawsuit","$170,000",10-25-2018,https://www.eeoc.gov/newsroom/mpw-industrial-services-pay-170000-settle-eeoc-race-discrimination-lawsuit
Case No. 1:18-cv-01020,"Absolut Care to Pay $465,000 To Settle EEOC Pregnancy and Disability Discrimination Suit","$465,000",10-22-2018,https://www.eeoc.gov/newsroom/absolut-care-pay-465000-settle-eeoc-pregnancy-and-disability-discrimination-suit
Case No. 1:17-cv-00175,"Floyd&#39;s Equipment to Pay $25,000 To Settle EEOC Racial Discrimination and Retaliation Lawsuit","$25,000",10-16-2018,https://www.eeoc.gov/newsroom/floyds-equipment-pay-25000-settle-eeoc-racial-discrimination-and-retaliation-lawsuit
Case No. 1:16-cv-02386,Sherwood Food Distributors to Pay $3.6 Million And Offer 150 Jobs To Settle EEOC Class Sex Discrimination Lawsuit,$3.6,10-16-2018,https://www.eeoc.gov/newsroom/sherwood-food-distributors-pay-36-million-and-offer-150-jobs-settle-eeoc-class-sex
Case No. 3:17-cv-02004,"Triton Management Services to Pay $110,000 To Settle EEOC Disability Lawsuit","$110,000",10-10-2018,https://www.eeoc.gov/newsroom/triton-management-services-pay-110000-settle-eeoc-disability-lawsuit
Case No. 8:17-cv-2879,"B.F. Saul Companies, Hospitality Group to Pay $210,000 To Settle EEOC Disability Discrimination Suit","$210,000",09-14-2018,https://www.eeoc.gov/newsroom/bf-saul-companies-hospitality-group-pay-210000-settle-eeoc-disability-discrimination-suit
Case No. 4:17-cv-809,"Kessinger Hunter Management to Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000",08-31-2018,https://www.eeoc.gov/newsroom/kessinger-hunter-management-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:17-cv-23550,"Autonation-Owned Dealerships to Pay $150,000 To Settle EEOC Gender Discrimination Lawsuit","$150,000",08-22-2018,https://www.eeoc.gov/newsroom/autonation-owned-dealerships-pay-150000-settle-eeoc-gender-discrimination-lawsuit
Case No. 2:17-cv-499,"Massimo Zanetti Beverage to Pay $65,000 To Settle EEOC Sex Harassment and Retaliation Lawsuit","$65,000",08-20-2018,https://www.eeoc.gov/newsroom/massimo-zanetti-beverage-pay-65000-settle-eeoc-sex-harassment-and-retaliation-lawsuit
Case No. 3:18-cv-00116,"Las Trancas Restaurant to Pay $66,598 To Settle  EEOC Sexual Harassment and Retaliation Lawsuit","$66,598",08-09-2018,https://www.eeoc.gov/newsroom/las-trancas-restaurant-pay-66598-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:17-cv-21446,"SLS Hotel to Pay $2.5 Million To Settle EEOC Race, Color, National Origin Lawsuit",$2.5,07-30-2018,https://www.eeoc.gov/newsroom/sls-hotel-pay-25-million-settle-eeoc-race-color-national-origin-lawsuit
Case No. 3:17-cv-00678,"California Farm to Pay $300,000 To Settle EEOC Sexual Harassment & Retaliation Lawsuit","$300,000",07-25-2018,https://www.eeoc.gov/newsroom/california-farm-pay-300000-settle-eeoc-sexual-harassment-retaliation-lawsuit
Case No. 4:15-cv-00037,"Cudd Energy Services to Pay $39,900 To Settle EEOC Racial Harassment And Retaliation Lawsuit","$39,900",07-20-2018,https://www.eeoc.gov/newsroom/cudd-energy-services-pay-39900-settle-eeoc-racial-harassment-and-retaliation-lawsuit
Case No. 3:17-cv-1002,Two IHOP Restaurants to Pay Nearly $1 Million to Settle EEOC Sexual Harassment Suit,$1,07-19-2018,https://www.eeoc.gov/newsroom/two-ihop-restaurants-pay-nearly-1-million-settle-eeoc-sexual-harassment-suit
Case No. 2:17-cv-03897,Estée Lauder Companies to Pay $1.1 Million to Settle EEOC Class Sex Discrimination Lawsuit,$1.1,07-17-2018,https://www.eeoc.gov/newsroom/estee-lauder-companies-pay-11-million-settle-eeoc-class-sex-discrimination-lawsuit
Case No. 4:17-cv-01150,"Applebee's Grill and Bar to Pay $75,000 To Settle EEOC Sexual Harassment Lawsuit","$75,000",07-17-2018,https://www.eeoc.gov/newsroom/applebees-grill-and-bar-pay-75000-settle-eeoc-sexual-harassment-lawsuit
Case No. 2:16-cv-1208,"Scion Dental to Pay $98,000 to Settle EEOC Race Discrimination Suit","$98,000",07-16-2018,https://www.eeoc.gov/newsroom/scion-dental-pay-98000-settle-eeoc-race-discrimination-suit
Case No. 3:17-cv-535,"Golden Corral Franchisee to Pay $85,000 to Settle  EEOC Disability and Sex Harassment Lawsuit","$85,000",07-13-2018,https://www.eeoc.gov/newsroom/golden-corral-franchisee-pay-85000-settle-eeoc-disability-and-sex-harassment-lawsuit
Case No. 4:17-cv-387,"TrueCore Behavioral Solutions to Pay $38,000 To Settle EEOC Equal Pay and Title VII Lawsuit","$38,000",07-06-2018,https://www.eeoc.gov/newsroom/truecore-behavioral-solutions-pay-38000-settle-eeoc-equal-pay-and-title-vii-lawsuit
Case No. 1:17-cv-04017,"Jones Lang LaSalle Americas to Pay $82,500 to Settle EEOC Disability Discrimination Suit","$82,500",07-03-2018,https://www.eeoc.gov/newsroom/jones-lang-lasalle-americas-pay-82500-settle-eeoc-disability-discrimination-suit
Case No. 1:17-cv-01084,"Camber Corporation to Pay $100,000 to Settle EEOC Disability and Age Discrimination Suit","$100,000",07-02-2018,https://www.eeoc.gov/newsroom/camber-corporation-pay-100000-settle-eeoc-disability-and-age-discrimination-suit
Case No. 3:17-cv-03731,CSX Transportation to Pay $3.2 Million To Settle  EEOC Disparate Impact Sex Discrimination Case,$3.2,06-13-2018,https://www.eeoc.gov/newsroom/csx-transportation-pay-32-million-settle-eeoc-disparate-impact-sex-discrimination-case
Case No. 2:18-cv-00954,Nevada Restaurant Services to Pay $3.5 Million To Settle EEOC Disability Discrimination Lawsuit,$3.5,06-06-2018,https://www.eeoc.gov/newsroom/nevada-restaurant-services-pay-35-million-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:16-cv-02471,University of Denver to Pay $2.66 Million and Increase Salaries to Settle EEOC Equal Pay Lawsuit,$2.66,06-01-2018,https://www.eeoc.gov/newsroom/university-denver-pay-266-million-and-increase-salaries-settle-eeoc-equal-pay-lawsuit
Case No. 1:17-cv-3426,"St. Vincent Hospital to Pay $15,000 to Settle EEOC Disability Discrimination Lawsuit","$15,000",05-30-2018,https://www.eeoc.gov/newsroom/st-vincent-hospital-pay-15000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:17-cv-00067,"Discovering Hidden Hawaii Tours to Pay $570,000 To Settle EEOC Male-On-Male Sexual Harassment Suit","$570,000",05-30-2018,https://www.eeoc.gov/newsroom/discovering-hidden-hawaii-tours-pay-570000-settle-eeoc-male-male-sexual-harassment-suit
Case No. 4:16-cv-04131,"M.G. Oil (Happy Jack's Casino) to Pay $45,000 to Settle EEOC Disability Discrimination Case","$45,000",05-18-2018,https://www.eeoc.gov/newsroom/mg-oil-happy-jacks-casino-pay-45000-settle-eeoc-disability-discrimination-case
Case No. 1:17-cv-02298,"Hertz to Pay $45,000 to Settle EEOC Disability Discrimination Lawsuit","$45,000",04-18-2018,https://www.eeoc.gov/newsroom/hertz-pay-45000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:17-cv-01980,"Capstone Logistics to Pay $50,000 To Settle EEOC Disability Discrimination Suit","$50,000",04-06-2018,https://www.eeoc.gov/newsroom/capstone-logistics-pay-50000-settle-eeoc-disability-discrimination-suit
Case No. 2:17-cv-00210,"Stemilt Growers and AG Services to Pay $95,000 To Settle EEOC Harassment, Retaliation Suit","$95,000",04-03-2018,https://www.eeoc.gov/newsroom/stemilt-growers-and-ag-services-pay-95000-settle-eeoc-harassment-retaliation-suit
Case No. 3:16-cv-00240,"Salvation Army to Pay $55,000 To Settle EEOC Disability Discrimination Lawsuit","$55,000",04-03-2018,https://www.eeoc.gov/newsroom/salvation-army-pay-55000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:17-cv-00063,"Mine Rite Technologies to Pay $75,000  To Settle EEOC Disability Suit","$75,000",03-23-2018,https://www.eeoc.gov/newsroom/mine-rite-technologies-pay-75000-settle-eeoc-disability-suit
Case No. 4:17-cv-13466,"Professional Endodontics to Pay $47,000 to Settle EEOC Age Discrimination Suit","$47,000",03-15-2018,https://www.eeoc.gov/newsroom/professional-endodontics-pay-47000-settle-eeoc-age-discrimination-suit
Case No. 2:17-cv-04346,"Aqua Resources to Pay $150,000 to Settle EEOC Racial Harassment and Retaliation Suit","$150,000",02-01-2018,https://www.eeoc.gov/newsroom/aqua-resources-pay-150000-settle-eeoc-racial-harassment-and-retaliation-suit
Case No. 3:17-cv-000340,"Kentucky Fried Chicken Franchise to Pay $30,000 To Settle EEOC Disability Discrimination Suit","$30,000",02-01-2018,https://www.eeoc.gov/newsroom/kentucky-fried-chicken-franchise-pay-30000-settle-eeoc-disability-discrimination-suit
Case No. 2:17-cv-1147,"Silverado to Pay $80,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$80,000",01-29-2018,https://www.eeoc.gov/newsroom/silverado-pay-80000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 2:16-cv-13540,"Greektown Casino to Pay $140,000 To  Settle EEOC Disability Discrimination Suit","$140,000",01-24-2018,https://www.eeoc.gov/newsroom/greektown-casino-pay-140000-settle-eeoc-disability-discrimination-suit
Case No. 3:17-cv-02436,"Security Services Company to Pay $90,000 To Settle EEOC Religious Discrimination Suit","$90,000",01-23-2018,https://www.eeoc.gov/newsroom/security-services-company-pay-90000-settle-eeoc-religious-discrimination-suit
Case No. 1:17-cv-01083,"Vador Ventures to Pay $36,000 To Settle  EEOC Equal Pay and Retaliation Suit","$36,000",01-17-2018,https://www.eeoc.gov/newsroom/vador-ventures-pay-36000-settle-eeoc-equal-pay-and-retaliation-suit
Case No. 1:17-cv-00016,"Pioneer Health Services to Pay $85,000 To Settle  EEOC Disability Discrimination Suit","$85,000",01-10-2018,https://www.eeoc.gov/newsroom/pioneer-health-services-pay-85000-settle-eeoc-disability-discrimination-suit
Case No. 1:16-cv-00521,"Aloha Auto Group to Pay $30,000 To Settle  EEOC Retaliation Suit","$30,000",01-10-2018,https://www.eeoc.gov/newsroom/aloha-auto-group-pay-30000-settle-eeoc-retaliation-suit
Case No. 3:15-cv-00590,"Indi's Fast Food Restaurant to Pay $340,000 To Settle EEOC Sexual Harassment Lawsuit","$340,000",01-08-2018,https://www.eeoc.gov/newsroom/indis-fast-food-restaurant-pay-340000-settle-eeoc-sexual-harassment-lawsuit
Case No. 2:10-cv-02088,"GEO Group to Pay $550,000 To Settle EEOC Sexual Harassment and Retaliation Lawsuit","$550,000",01-08-2018,https://www.eeoc.gov/newsroom/geo-group-pay-550000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:16-cv-02277,"Montrose Memorial Hospital to Pay $400,000 To Settle EEOC Age Discrimination Lawsuit","$400,000",01-04-2018,https://www.eeoc.gov/newsroom/montrose-memorial-hospital-pay-400000-settle-eeoc-age-discrimination-lawsuit
Case No. 8:17-cv-02316,"Dependable Health Services to Pay $38,000 to Settle EEOC Disability Discrimination Suit","$38,000",12-22-2017,https://www.eeoc.gov/newsroom/dependable-health-services-pay-38000-settle-eeoc-disability-discrimination-suit
Case No. 1:16-cv-00428,"Rocky Mountain Casing Crews to Pay $70,000  For Sexual Harassment","$70,000",12-20-2017,https://www.eeoc.gov/newsroom/rocky-mountain-casing-crews-pay-70000-sexual-harassment
Case No. 1:17-cv-00200,"Trinity Hospital to Pay $95,000 To Settle EEOC Pregnancy Discrimination Suit","$95,000",12-20-2017,https://www.eeoc.gov/newsroom/trinity-hospital-pay-95000-settle-eeoc-pregnancy-discrimination-suit
Case No. 3:15-cv-03157,"AccentCare to Pay $25,000 To Settle EEOC Disability Discrimination Suit","$25,000",12-01-2017,https://www.eeoc.gov/newsroom/accentcare-pay-25000-settle-eeoc-disability-discrimination-suit
Case No. 3:16-cv-2410,"Community Pharmacy to Pay $60,000 To Settle  Equal Pay Discrimination Suit","$60,000",11-13-2017,https://www.eeoc.gov/newsroom/community-pharmacy-pay-60000-settle-equal-pay-discrimination-suit
Case No. 0:17-cv-60970,"Ruby Tuesday to Pay $45,000 to Settle EEOC Age Discrimination Suit","$45,000",10-26-2017,https://www.eeoc.gov/newsroom/ruby-tuesday-pay-45000-settle-eeoc-age-discrimination-suit
Case No. 1:16-cv-01395,"Dash Dream Plant to Pay $110,000 to Settle EEOC Pregnancy Lawsuit","$110,000",10-16-2017,https://www.eeoc.gov/newsroom/dash-dream-plant-pay-110000-settle-eeoc-pregnancy-lawsuit
Case No. 5:13-cv-00189,"River Region Medical Center to Pay $100,000 To Settle EEOC Disability Discrimination Suit","$100,000",09-13-2017,https://www.eeoc.gov/newsroom/river-region-medical-center-pay-100000-settle-eeoc-disability-discrimination-suit
Case No. 2:15-cv-01909,"Private Prison GEO Group to Pay $60,000 To Settle EEOC Sexual Harassment And Retaliation Lawsuit","$60,000",08-25-2017,https://www.eeoc.gov/newsroom/private-prison-geo-group-pay-60000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 4:16-cv-00180,"Chemtrusion to Pay $145,000 to Settle EEOC Class Disability Discrimination Case","$145,000",07-21-2017,https://www.eeoc.gov/newsroom/chemtrusion-pay-145000-settle-eeoc-class-disability-discrimination-case
Case No. 1:16-cv-02477,"Paolo's Ristorante to Pay $50,000 To Settle EEOC Sexual Orientation Discrimination Lawsuit","$50,000",07-05-2017,https://www.eeoc.gov/newsroom/paolos-ristorante-pay-50000-settle-eeoc-sexual-orientation-discrimination-lawsuit
Case No. 2:16-cv-02848,"Scottsdale Car Dealership to Pay $45,000 To Settle  Disability Discrimination Lawsuit","$45,000",06-08-2017,https://www.eeoc.gov/newsroom/scottsdale-car-dealership-pay-45000-settle-disability-discrimination-lawsuit
Case No. 1:14-cv-663,"Wisconsin Plastics to Pay $475,000 To Settle  EEOC National Origin Discrimination Lawsuit","$475,000",05-26-2017,https://www.eeoc.gov/newsroom/wisconsin-plastics-pay-475000-settle-eeoc-national-origin-discrimination-lawsuit
Case No. 4:16-cv-03714,"Carolina Creek to Pay $70,000 to Settle EEOC Pregnancy and Disability Discrimination Suit","$70,000",05-17-2017,https://www.eeoc.gov/newsroom/carolina-creek-pay-70000-settle-eeoc-pregnancy-and-disability-discrimination-suit
Case No. 1:16-cv-4118,"El Chaparro to Pay $20,000 to Settle EEOC Sexual Harassment Suit","$20,000",05-08-2017,https://www.eeoc.gov/newsroom/el-chaparro-pay-20000-settle-eeoc-sexual-harassment-suit
Case No. 1:17-cv-01791,"Education Company to Pay $57,000 to Settle EEOC Sex Discrimination Suit","$57,000",05-08-2017,https://www.eeoc.gov/newsroom/education-company-pay-57000-settle-eeoc-sex-discrimination-suit
Case No. 1:16-cv-01429,"Hiatt & Mason Enterprises to Pay $35,000 to Settle EEOC Racial Harassment Lawsuit","$35,000",04-27-2017,https://www.eeoc.gov/newsroom/hiatt-mason-enterprises-pay-35000-settle-eeoc-racial-harassment-lawsuit
Case No. 4:16-cv-00925,"Kansas City Cabinetmaker to Pay $60,000 to Settle EEOC Race Discrimination Suit","$60,000",04-25-2017,https://www.eeoc.gov/newsroom/kansas-city-cabinetmaker-pay-60000-settle-eeoc-race-discrimination-suit
Case No. 1:15-cv-22777,"IDEX Corporation to Pay $380,000  to Settle EEOC Disability Discrimination Lawsuit","$380,000",04-19-2017,https://www.eeoc.gov/newsroom/idex-corporation-pay-380000-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:16-cv-00187,"ABL Management to Pay $35,000 to Settle  Retaliation Lawsuit with EEOC","$35,000",04-10-2017,https://www.eeoc.gov/newsroom/abl-management-pay-35000-settle-retaliation-lawsuit-eeoc
Case No. 2:16-cv-11551,"Country Fresh to Pay $84,750 to Settle EEOC Sex Discrimination Suit","$84,750",04-05-2017,https://www.eeoc.gov/newsroom/country-fresh-pay-84750-settle-eeoc-sex-discrimination-suit
